Galaxy,RA,Dec,ukirt_ref,vista_ref,ref_exists
SDSS J1121+0324,170.47037,3.40589,True,True,True
NGC 1023,40.10004208333,39.063285,True,False,True
NGC 1023A,40.157208333330004,39.0575,True,False,True
UGC 02157,40.10470833333,38.56325,True,False,True
NGC 1023C,40.16496666667,39.379775,True,False,True
NGC 1023D,40.1374625,38.90025555556,True,False,True
NGC 4414,186.61291666667,31.22352777778,True,False,True
2MASS J12262656+3113459,186.61058,31.22933,True,False,True
IC 0284,46.54129166667,42.371916666669996,True,False,True
NGC 1198,46.55516666667,41.84894444444,True,False,True
NGC 4651,190.927625,16.393388888889998,True,False,True
SDSS J124451.77+162505.5,191.2157469661,16.4182139664,True,False,True
2MASS J12434329+1623257,190.93079,16.390208,True,False,True
SDSS J124343.61+162347.4,190.93173,16.39651,True,False,True
NGC 4666,191.2857977437,-0.4618851394,True,True,True
NGC 4632,190.63345712104,-0.08260134861,True,True,True
UGC 07911,191.11988170759997,0.4680675008,True,True,True
SDSS J124227.74+000253.5,190.61560072150002,0.0482079225,True,True,True
SDSS J124303.25-002625.9,190.76358112009999,-0.440547079,True,True,True
NGC 3628,170.07071,13.58968388889,True,False,True
AGC 215286,169.80291666667,14.32777777778,True,False,True
AGC 215413,170.59625,13.64861111111,True,False,True
HIPASS J1122+13,170.63833333333,13.67555555556,True,False,True
AGC 215406,169.88958333333,13.86222222222,True,False,True
AGC 215412,170.4475,13.62138888889,True,False,True
